>> cd ../jacobi_poisson_1d
>> jacobi_poisson_1d
22-Nov-2011 13:09:57

JACOBI_POISSON_1D:
  Use Jacobi iteration for the 1D Poisson equation.
  Enter K >= 0, the grid index, so that NK = 2^K + 1:  5

    Step    Residual      Change
     243      0.9192    0.000451
     244      0.9148   0.0004488
     245      0.9104   0.0004467
     246       0.906   0.0004445
     247      0.9016   0.0004424
     248      0.8973   0.0004403
     249       0.893   0.0004381
     250      0.8887    0.000436
     251      0.8844   0.0004339
     252      0.8801   0.0004318
     253      0.8759   0.0004297
     254      0.8717   0.0004277
     255      0.8675   0.0004256
     256      0.8633   0.0004236
     257      0.8591   0.0004215
     258       0.855   0.0004195
     259      0.8508   0.0004175
     260      0.8467   0.0004155
     261      0.8427   0.0004135
     262      0.8386   0.0004115
     263      0.8346   0.0004095
     264      0.8305   0.0004075
     265      0.8265   0.0004055
     266      0.8226   0.0004036
     267      0.8186   0.0004016
     268      0.8146   0.0003997
     269      0.8107   0.0003978
     270      0.8068   0.0003959
     271      0.8029    0.000394
     272      0.7991   0.0003921
     273      0.7952   0.0003902
     274      0.7914   0.0003883
     275      0.7876   0.0003864
     276      0.7838   0.0003846
     277        0.78   0.0003827
     278      0.7762   0.0003809
     279      0.7725    0.000379
     280      0.7688   0.0003772
     281      0.7651   0.0003754
     282      0.7614   0.0003736
     283      0.7577   0.0003718
     284      0.7541     0.00037
     285      0.7504   0.0003682
     286      0.7468   0.0003664
     287      0.7432   0.0003647
     288      0.7396   0.0003629
     289      0.7361   0.0003612
     290      0.7325   0.0003594
     291       0.729   0.0003577
     292      0.7255    0.000356
     293       0.722   0.0003542
     294      0.7185   0.0003525
     295      0.7151   0.0003508
     296      0.7116   0.0003492
     297      0.7082   0.0003475
     298      0.7048   0.0003458
     299      0.7014   0.0003441
     300       0.698   0.0003425
     301      0.6946   0.0003408
     302      0.6913   0.0003392
     303       0.688   0.0003375
     304      0.6847   0.0003359
     305      0.6814   0.0003343
     306      0.6781   0.0003327
     307      0.6748   0.0003311
     308      0.6716   0.0003295
     309      0.6683   0.0003279
     310      0.6651   0.0003263
     311      0.6619   0.0003248
     312      0.6587   0.0003232
     313      0.6555   0.0003216
     314      0.6524   0.0003201
     315      0.6492   0.0003185
     316      0.6461    0.000317
     317       0.643   0.0003155
     318      0.6399    0.000314
     319      0.6368   0.0003125
     320      0.6338    0.000311
     321      0.6307   0.0003095
     322      0.6277    0.000308
     323      0.6246   0.0003065
     324      0.6216    0.000305
     325      0.6186   0.0003035
     326      0.6157   0.0003021
     327      0.6127   0.0003006
     328      0.6098   0.0002992
     329      0.6068   0.0002977
     330      0.6039   0.0002963
     331       0.601   0.0002949
     332      0.5981   0.0002934
     333      0.5952    0.000292
     334      0.5923   0.0002906
     335      0.5895   0.0002892
     336      0.5867   0.0002878
     337      0.5838   0.0002865
     338       0.581   0.0002851
     339      0.5782   0.0002837
     340      0.5754   0.0002823
     341      0.5727    0.000281
     342      0.5699   0.0002796
     343      0.5672   0.0002783
     344      0.5644   0.0002769
     345      0.5617   0.0002756
