04-Jul-2007 21:06:57

NINT_EXACTNESS_TET
  MATLAB version

  Investigate the polynomial exactness of a quadrature
  rule for the tetrahedron by integrating all monomials
  of a given degree.

  The rule will be adjusted to the unit tetrahedron.

NINT_EXACTNESS_TET: User input:
  Quadrature rule X file = "nco3_x.txt".
  Quadrature rule W file = "nco3_w.txt".
  Quadrature rule R file = "nco3_r.txt".
  Maximum total degree to check = 5
  Spatial dimension = 3
  Number of points  = 20

      Error    Degree  Exponents

        0.000000    0   0 0 0

        0.000000    1   1 0 0
        0.000000    1   0 1 0
        0.000000    1   0 0 1

        0.000000    2   2 0 0
        0.000000    2   1 1 0
        0.000000    2   0 2 0
        0.000000    2   1 0 1
        0.000000    2   0 1 1
        0.000000    2   0 0 2

        0.000000    3   3 0 0
        0.000000    3   2 1 0
        0.000000    3   1 2 0
        0.000000    3   0 3 0
        0.000000    3   2 0 1
        0.000000    3   1 1 1
        0.000000    3   0 2 1
        0.000000    3   1 0 2
        0.000000    3   0 1 2
        0.000000    3   0 0 3

        0.074344    4   4 0 0
        0.099125    4   3 1 0
        0.155977    4   2 2 0
        0.099125    4   1 3 0
        0.074344    4   0 4 0
        0.099125    4   3 0 1
        0.007289    4   2 1 1
        0.007289    4   1 2 1
        0.099125    4   0 3 1
        0.155977    4   2 0 2
        0.007289    4   1 1 2
        0.155977    4   0 2 2
        0.099125    4   1 0 3
        0.099125    4   0 1 3
        0.074344    4   0 0 4

        0.207830    5   5 0 0
        0.148133    5   4 1 0
        0.153131    5   3 2 0
        0.153131    5   2 3 0
        0.148133    5   1 4 0
        0.207830    5   0 5 0
        0.148133    5   4 0 1
        0.253367    5   3 1 1
        0.164515    5   2 2 1
        0.253367    5   1 3 1
        0.148133    5   0 4 1
        0.153131    5   3 0 2
        0.164515    5   2 1 2
        0.164515    5   1 2 2
        0.153131    5   0 3 2
        0.153131    5   2 0 3
        0.253367    5   1 1 3
        0.153131    5   0 2 3
        0.148133    5   1 0 4
        0.148133    5   0 1 4
        0.207830    5   0 0 5


NINT_EXACTNESS_TET:
  Normal end of execution.

04-Jul-2007 21:06:57
