>> gauss_seidel_poisson_1d
22-Nov-2011 13:09:15

GAUSS_SEIDEL_POISSON_1D:
  Use Gauss-Seidel iteration for the 1D Poisson equation.
  Enter K >= 0, the grid index, so that NK = 2^K + 1:  5

    Step    Residual      Change
     238      0.3082   0.0003011
     239      0.3053   0.0002982
     240      0.3023   0.0002954
     241      0.2994   0.0002925
     242      0.2966   0.0002897
     243      0.2937   0.0002869
     244      0.2909   0.0002842
     245      0.2881   0.0002814
     246      0.2853   0.0002787
     247      0.2826   0.0002761
     248      0.2799   0.0002734
     249      0.2772   0.0002708
     250      0.2745   0.0002682
     251      0.2719   0.0002656
     252      0.2693   0.0002631
     253      0.2667   0.0002605
     254      0.2641    0.000258
     255      0.2616   0.0002556
     256      0.2591   0.0002531
     257      0.2566   0.0002507
     258      0.2541   0.0002483
     259      0.2517   0.0002459
     260      0.2493   0.0002435
     261      0.2469   0.0002412
     262      0.2445   0.0002389
     263      0.2422   0.0002366
     264      0.2398   0.0002343
     265      0.2375    0.000232
     266      0.2352   0.0002298
     267       0.233   0.0002276
     268      0.2307   0.0002254
     269      0.2285   0.0002233
     270      0.2263   0.0002211
     271      0.2242    0.000219
     272       0.222   0.0002169
     273      0.2199   0.0002148
     274      0.2178   0.0002127
     275      0.2157   0.0002107
     276      0.2136   0.0002087
     277      0.2115   0.0002067
     278      0.2095   0.0002047
     279      0.2075   0.0002027
     280      0.2055   0.0002008
     281      0.2035   0.0001988
     282      0.2016   0.0001969
     283      0.1996    0.000195
     284      0.1977   0.0001932
     285      0.1958   0.0001913
     286      0.1939   0.0001895
     287      0.1921   0.0001876
     288      0.1902   0.0001858
     289      0.1884   0.0001841
     290      0.1866   0.0001823
     291      0.1848   0.0001805
     292       0.183   0.0001788
     293      0.1813   0.0001771
     294      0.1795   0.0001754
     295      0.1778   0.0001737
     296      0.1761    0.000172
     297      0.1744   0.0001704
     298      0.1727   0.0001687
     299      0.1711   0.0001671
     300      0.1694   0.0001655
     301      0.1678   0.0001639
     302      0.1662   0.0001624
     303      0.1646   0.0001608
     304       0.163   0.0001592
     305      0.1614   0.0001577
     306      0.1599   0.0001562
     307      0.1584   0.0001547
     308      0.1568   0.0001532
     309      0.1553   0.0001517
     310      0.1538   0.0001503
     311      0.1524   0.0001488
     312      0.1509   0.0001474
     313      0.1494    0.000146
     314       0.148   0.0001446
     315      0.1466   0.0001432
     316      0.1452   0.0001418
     317      0.1438   0.0001405
     318      0.1424   0.0001391
     319       0.141   0.0001378
     320      0.1397   0.0001365
     321      0.1383   0.0001351
     322       0.137   0.0001338
     323      0.1357   0.0001326
     324      0.1344   0.0001313
     325      0.1331     0.00013
     326      0.1318   0.0001288
     327      0.1306   0.0001275
     328      0.1293   0.0001263
     329      0.1281   0.0001251
     330      0.1268   0.0001239
     331      0.1256   0.0001227
     332      0.1244   0.0001215
     333      0.1232   0.0001204
     334       0.122   0.0001192
     335      0.1209   0.0001181
     336      0.1197   0.0001169
     337      0.1185   0.0001158
     338      0.1174   0.0001147
     339      0.1163   0.0001136
     340      0.1152   0.0001125
     341      0.1141   0.0001114
     342       0.113   0.0001103
     343      0.1119   0.0001093
     344      0.1108   0.0001082
     345      0.1097   0.0001072
     346      0.1087   0.0001062
     347      0.1076   0.0001051
     348      0.1066   0.0001041
     349      0.1056   0.0001031
     350      0.1046   0.0001021
     351      0.1036   0.0001012
     352      0.1026   0.0001002
     353      0.1016   9.923e-05
     354      0.1006   9.828e-05
     355     0.09963   9.733e-05
     356     0.09868    9.64e-05
     357     0.09773   9.547e-05
     358     0.09679   9.455e-05
     359     0.09586   9.364e-05
     360     0.09494   9.275e-05
     361     0.09403   9.185e-05
     362     0.09312   9.097e-05
     363     0.09223    9.01e-05
     364     0.09134   8.923e-05
     365     0.09046   8.837e-05
     366      0.0896   8.753e-05
     367     0.08873   8.668e-05
     368     0.08788   8.585e-05
     369     0.08704   8.503e-05
     370      0.0862   8.421e-05
     371     0.08537    8.34e-05
     372     0.08455    8.26e-05
     373     0.08374   8.181e-05
     374     0.08294   8.102e-05
     375     0.08214   8.024e-05
     376     0.08135   7.947e-05
     377     0.08057   7.871e-05
     378     0.07979   7.795e-05
     379     0.07903    7.72e-05
     380     0.07827   7.646e-05
     381     0.07752   7.573e-05
     382     0.07677     7.5e-05
     383     0.07603   7.428e-05
     384      0.0753   7.356e-05
     385     0.07458   7.286e-05
     386     0.07386   7.216e-05
     387     0.07315   7.146e-05
     388     0.07245   7.078e-05
     389     0.07176    7.01e-05
     390     0.07107   6.942e-05
     391     0.07038   6.876e-05
     392     0.06971    6.81e-05
     393     0.06904   6.744e-05
     394     0.06837    6.68e-05
     395     0.06772   6.615e-05
     396     0.06707   6.552e-05
     397     0.06642   6.489e-05
     398     0.06578   6.426e-05
     399     0.06515   6.365e-05
     400     0.06453   6.304e-05
     401     0.06391   6.243e-05
     402     0.06329   6.183e-05
     403     0.06268   6.124e-05
     404     0.06208   6.065e-05
     405     0.06149   6.007e-05
     406      0.0609   5.949e-05
     407     0.06031   5.892e-05
     408     0.05973   5.835e-05
     409     0.05916   5.779e-05
     410     0.05859   5.724e-05
     411     0.05803   5.669e-05
     412     0.05747   5.614e-05
     413     0.05692    5.56e-05
     414     0.05637   5.507e-05
     415     0.05583   5.454e-05
     416     0.05529   5.401e-05
     417     0.05476    5.35e-05
     418     0.05423   5.298e-05
     419     0.05371   5.247e-05
     420      0.0532   5.197e-05
     421     0.05269   5.147e-05
     422     0.05218   5.097e-05
     423     0.05168   5.048e-05
     424     0.05118       5e-05
     425     0.05069   4.952e-05
     426      0.0502   4.904e-05
     427     0.04972   4.857e-05
     428     0.04924   4.811e-05
     429     0.04877   4.764e-05
     430      0.0483   4.719e-05
     431     0.04784   4.673e-05
     432     0.04738   4.628e-05
     433     0.04692   4.584e-05
     434     0.04647    4.54e-05
     435     0.04603   4.496e-05
     436     0.04558   4.453e-05
     437     0.04515    4.41e-05
     438     0.04471   4.368e-05
     439     0.04428   4.326e-05
     440     0.04386   4.284e-05
     441     0.04344   4.243e-05
     442     0.04302   4.202e-05
     443      0.0426   4.162e-05
     444      0.0422   4.122e-05
     445     0.04179   4.082e-05
     446     0.04139   4.043e-05
     447     0.04099   4.004e-05
     448      0.0406   3.966e-05
     449     0.04021   3.928e-05
     450     0.03982    3.89e-05
     451     0.03944   3.853e-05
     452     0.03906   3.816e-05
     453     0.03868   3.779e-05
     454     0.03831   3.743e-05
     455     0.03794   3.707e-05
     456     0.03758   3.671e-05
     457     0.03722   3.636e-05
     458     0.03686   3.601e-05
     459     0.03651   3.566e-05
     460     0.03616   3.532e-05
     461     0.03581   3.498e-05
     462     0.03546   3.465e-05
     463     0.03512   3.431e-05
     464     0.03479   3.398e-05
     465     0.03445   3.366e-05
     466     0.03412   3.333e-05
     467     0.03379   3.301e-05
     468     0.03347    3.27e-05
     469     0.03315   3.238e-05
     470     0.03283   3.207e-05
     471     0.03251   3.176e-05
     472      0.0322   3.146e-05
     473     0.03189   3.116e-05
     474     0.03159   3.086e-05
     475     0.03128   3.056e-05
     476     0.03098   3.027e-05
     477     0.03068   2.998e-05
     478     0.03039   2.969e-05
     479      0.0301    2.94e-05
     480     0.02981   2.912e-05
     481     0.02952   2.884e-05
     482     0.02924   2.856e-05
     483     0.02896   2.829e-05
     484     0.02868   2.802e-05
     485      0.0284   2.775e-05
     486     0.02813   2.748e-05
     487     0.02786   2.722e-05
     488     0.02759   2.696e-05
     489     0.02733    2.67e-05
     490     0.02706   2.644e-05
     491      0.0268   2.619e-05
     492     0.02655   2.593e-05
     493     0.02629   2.568e-05
     494     0.02604   2.544e-05
     495     0.02579   2.519e-05
     496     0.02554   2.495e-05
     497      0.0253   2.471e-05
     498     0.02505   2.447e-05
     499     0.02481   2.424e-05
     500     0.02457   2.401e-05
     501     0.02434   2.378e-05
     502      0.0241   2.355e-05
     503     0.02387   2.332e-05
     504     0.02364    2.31e-05
     505     0.02342   2.288e-05
     506     0.02319   2.266e-05
     507     0.02297   2.244e-05
     508     0.02275   2.222e-05
     509     0.02253   2.201e-05
     510     0.02231    2.18e-05
     511      0.0221   2.159e-05
     512     0.02189   2.138e-05
     513     0.02168   2.118e-05
     514     0.02147   2.097e-05
     515     0.02126   2.077e-05
     516     0.02106   2.057e-05
     517     0.02085   2.037e-05
     518     0.02065   2.018e-05
     519     0.02046   1.998e-05
     520     0.02026   1.979e-05
     521     0.02006    1.96e-05
     522     0.01987   1.941e-05
     523     0.01968   1.923e-05
     524     0.01949   1.904e-05
     525      0.0193   1.886e-05
     526     0.01912   1.868e-05
     527     0.01894    1.85e-05
     528     0.01875   1.832e-05
     529     0.01857   1.814e-05
     530      0.0184   1.797e-05
     531     0.01822    1.78e-05
     532     0.01804   1.763e-05
     533     0.01787   1.746e-05
     534      0.0177   1.729e-05
     535     0.01753   1.712e-05
     536     0.01736   1.696e-05
     537     0.01719    1.68e-05
     538     0.01703   1.663e-05
     539     0.01686   1.647e-05
     540      0.0167   1.632e-05
     541     0.01654   1.616e-05
     542     0.01638     1.6e-05
     543     0.01623   1.585e-05
     544     0.01607    1.57e-05
     545     0.01592   1.555e-05
     546     0.01576    1.54e-05
     547     0.01561   1.525e-05
     548     0.01546    1.51e-05
     549     0.01531   1.496e-05
     550     0.01517   1.481e-05
     551     0.01502   1.467e-05
     552     0.01488   1.453e-05
     553     0.01473   1.439e-05
     554     0.01459   1.425e-05
     555     0.01445   1.412e-05
     556     0.01431   1.398e-05
     557     0.01417   1.385e-05
     558     0.01404   1.371e-05
     559      0.0139   1.358e-05
     560     0.01377   1.345e-05
     561     0.01364   1.332e-05
     562     0.01351   1.319e-05
     563     0.01338   1.307e-05
     564     0.01325   1.294e-05
     565     0.01312   1.282e-05
     566     0.01299   1.269e-05
     567     0.01287   1.257e-05
     568     0.01275   1.245e-05
     569     0.01262   1.233e-05
     570      0.0125   1.221e-05
     571     0.01238    1.21e-05
     572     0.01226   1.198e-05
     573     0.01215   1.187e-05
     574     0.01203   1.175e-05
     575     0.01191   1.164e-05
     576      0.0118   1.153e-05
     577     0.01169   1.142e-05
     578     0.01157   1.131e-05
     579     0.01146    1.12e-05
     580     0.01135   1.109e-05
     581     0.01124   1.098e-05
     582     0.01113   1.088e-05
     583     0.01103   1.077e-05
     584     0.01092   1.067e-05
     585     0.01082   1.057e-05
