     1     2    15
    15    14     1
     2     3    16
    16    15     2
     3     4    17
    17    16     3
     4     5    18
    18    17     4
     5     6    19
    19    18     5
     6     7    20
    20    19     6
     7     8    21
    21    20     7
     8     9    22
    22    21     8
     9    10    23
    23    22     9
    10    11    24
    24    23    10
    11    12    25
    25    24    11
    12    13    26
    26    25    12
    14    15    28
    28    27    14
    15    16    29
    29    28    15
    16    17    30
    30    29    16
    17    18    31
    31    30    17
    18    19    32
    32    31    18
    19    20    33
    33    32    19
    20    21    34
    34    33    20
    21    22    35
    35    34    21
    22    23    36
    36    35    22
    23    24    37
    37    36    23
    24    25    38
    38    37    24
    25    26    39
    39    38    25
    27    28    41
    41    40    27
    28    29    42
    42    41    28
    29    30    43
    43    42    29
    30    31    44
    44    43    30
    31    32    45
    45    44    31
    32    33    46
    46    45    32
    33    34    47
    47    46    33
    34    35    48
    48    47    34
    35    36    49
    49    48    35
    36    37    50
    50    49    36
    37    38    51
    51    50    37
    38    39    52
    52    51    38
    40    41    54
    54    53    40
    41    42    55
    55    54    41
    42    43    56
    56    55    42
    43    44    57
    57    56    43
    44    45    58
    58    57    44
    45    46    59
    59    58    45
    46    47    60
    60    59    46
    47    48    61
    61    60    47
    48    49    62
    62    61    48
    49    50    63
    63    62    49
    50    51    64
    64    63    50
    51    52    65
    65    64    51
    53    54    67
    67    66    53
    54    55    68
    68    67    54
    55    56    69
    69    68    55
    56    57    70
    70    69    56
    57    58    71
    71    70    57
    58    59    72
    72    71    58
    59    60    73
    73    72    59
    60    61    74
    74    73    60
    61    62    75
    75    74    61
    62    63    76
    76    75    62
    63    64    77
    77    76    63
    64    65    78
    78    77    64
    66    67    80
    80    79    66
    67    68    81
    81    80    67
    68    69    82
    82    81    68
    69    70    83
    83    82    69
    70    71    84
    84    83    70
    71    72    85
    85    84    71
    72    73    86
    86    85    72
    73    74    87
    87    86    73
    74    75    88
    88    87    74
    75    76    89
    89    88    75
    76    77    90
    90    89    76
    77    78    91
    91    90    77
    79    80    93
    93    92    79
    80    81    94
    94    93    80
    81    82    95
    95    94    81
    82    83    96
    96    95    82
    83    84    97
    97    96    83
    84    85    98
    98    97    84
    85    86    99
    99    98    85
    86    87   100
   100    99    86
    87    88   101
   101   100    87
    88    89   102
   102   101    88
    89    90   103
   103   102    89
    90    91   104
   104   103    90
    92    93   106
   106   105    92
    93    94   107
   107   106    93
    94    95   108
   108   107    94
    95    96   109
   109   108    95
    96    97   110
   110   109    96
    97    98   111
   111   110    97
    98    99   112
   112   111    98
    99   100   113
   113   112    99
   100   101   114
   114   113   100
   101   102   115
   115   114   101
   102   103   116
   116   115   102
   103   104   117
   117   116   103
   105   106   119
   119   118   105
   106   107   120
   120   119   106
   107   108   121
   121   120   107
   108   109   122
   122   121   108
   109   110   123
   123   122   109
   110   111   124
   124   123   110
   111   112   125
   125   124   111
   112   113   126
   126   125   112
   113   114   127
   127   126   113
   114   115   128
   128   127   114
   115   116   129
   129   128   115
   116   117   130
   130   129   116
   118   119   132
   132   131   118
   119   120   133
   133   132   119
   120   121   134
   134   133   120
   121   122   135
   135   134   121
   122   123   136
   136   135   122
   123   124   137
   137   136   123
   124   125   138
   138   137   124
   125   126   139
   139   138   125
   126   127   140
   140   139   126
   127   128   141
   141   140   127
   128   129   142
   142   141   128
   129   130   143
   143   142   129
   131   132   145
   145   144   131
   132   133   146
   146   145   132
   133   134   147
   147   146   133
   134   135   148
   148   147   134
   135   136   149
   149   148   135
   136   137   150
   150   149   136
   137   138   151
   151   150   137
   138   139   152
   152   151   138
   139   140   153
   153   152   139
   140   141   154
   154   153   140
   141   142   155
   155   154   141
   142   143   156
   156   155   142
   144   145   158
   158   157   144
   145   146   159
   159   158   145
   146   147   160
   160   159   146
   147   148   161
   161   160   147
   148   149   162
   162   161   148
   149   150   163
   163   162   149
   150   151   164
   164   163   150
   151   152   165
   165   164   151
   152   153   166
   166   165   152
   153   154   167
   167   166   153
   154   155   168
   168   167   154
   155   156   169
   169   168   155
